,PostalCode,Subdistricts,Regency,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Cluster Labels
17,10350,GONDANGDIA,JAKARTA PUSAT,Bakery,Wine Bar,Chinese Restaurant,Food Court,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,1
23,10460,BUNGUR,JAKARTA PUSAT,Bakery,Wine Bar,Chinese Restaurant,Food Court,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,1
28,10550,KAMPUNG RAWA,JAKARTA PUSAT,Bakery,Wine Bar,Chinese Restaurant,Food Court,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,1
52,11210,TANAH SEREAL,JAKARTA BARAT,Bakery,Wine Bar,Chinese Restaurant,Food Court,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,1
53,11220,TAMBORA,JAKARTA BARAT,Bakery,Wine Bar,Chinese Restaurant,Food Court,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,1
54,11230,ROA MALAKA,JAKARTA BARAT,Bakery,Wine Bar,Chinese Restaurant,Food Court,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,1
58,11270,DURI SELATAN,JAKARTA BARAT,Bakery,Wine Bar,Chinese Restaurant,Food Court,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,1
59,11270,DURI UTARA,JAKARTA BARAT,Bakery,Wine Bar,Chinese Restaurant,Food Court,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,1
60,11310,KALI ANYAR,JAKARTA BARAT,Bakery,Wine Bar,Chinese Restaurant,Food Court,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,1
62,11330,ANGKE,JAKARTA BARAT,Bakery,Wine Bar,Chinese Restaurant,Food Court,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,1
63,11410,SLIPI,JAKARTA BARAT,Bakery,Wine Bar,Chinese Restaurant,Food Court,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,1
81,11550,KELAPA DUA,JAKARTA BARAT,Bakery,Wine Bar,Chinese Restaurant,Food Court,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,1
99,11850,SEMANAN,JAKARTA BARAT,Bakery,Wine Bar,Chinese Restaurant,Food Court,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,1
116,12260,PETUKANGAN UTARA,JAKARTA SELATAN,Bakery,Wine Bar,Chinese Restaurant,Food Court,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,1
