,PostalCode,Subdistricts,Regency,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Cluster Labels
1,10120,KEBON KELAPA,JAKARTA PUSAT,Chinese Restaurant,Seafood Restaurant,Noodle House,Asian Restaurant,Indonesian Meatball Place,Beer Garden,Steakhouse,Snack Place,BBQ Joint,Dessert Shop,0
2,10130,PETOJO UTARA,JAKARTA PUSAT,Noodle House,Donut Shop,Fast Food Restaurant,Restaurant,Asian Restaurant,Coffee Shop,Indonesian Restaurant,Japanese Restaurant,Chinese Restaurant,Bed & Breakfast,0
21,10440,PASEBAN,JAKARTA PUSAT,Fast Food Restaurant,Indonesian Restaurant,Asian Restaurant,Restaurant,Coffee Shop,Café,Food Court,Noodle House,Fried Chicken Joint,Steakhouse,0
24,10510,CEMPAKA PUTIH TIMUR,JAKARTA PUSAT,Fast Food Restaurant,Asian Restaurant,Restaurant,Indonesian Restaurant,Coffee Shop,Café,Food Court,Noodle House,Fried Chicken Joint,Betawinese Restaurant,0
29,10560,JOHAR BARU,JAKARTA PUSAT,Fast Food Restaurant,Wine Bar,Chinese Restaurant,Food Court,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,0
32,10620,KEMAYORAN,JAKARTA PUSAT,Food Court,Wine Bar,Chinese Restaurant,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,0
37,10650,SERDANG,JAKARTA PUSAT,Pizza Place,Fast Food Restaurant,Noodle House,Wine Bar,Café,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,0
38,10650,UTAN PANJANG,JAKARTA PUSAT,Pizza Place,Fast Food Restaurant,Noodle House,Wine Bar,Café,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,0
41,10730,MANGGA DUA SELATAN,JAKARTA PUSAT,Chinese Restaurant,Dessert Shop,Noodle House,Fast Food Restaurant,Asian Restaurant,BBQ Joint,Donut Shop,Food Truck,Café,Coffee Shop,0
45,11120,GLODOK,JAKARTA BARAT,Noodle House,Chinese Restaurant,Indonesian Restaurant,Food Court,Coffee Shop,Asian Restaurant,Dumpling Restaurant,Dessert Shop,Food Truck,Fast Food Restaurant,0
