,PostalCode,Subdistricts,Regency,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Cluster Labels
46,11130,KEAGUNGAN,JAKARTA BARAT,Chinese Restaurant,Asian Restaurant,Noodle House,Coffee Shop,Steakhouse,Soup Place,Bakery,Restaurant,Fast Food Restaurant,Food Truck,0
47,11140,KRUKUT,JAKARTA BARAT,Chinese Restaurant,Noodle House,Food Truck,Asian Restaurant,Bakery,Indonesian Restaurant,Fast Food Restaurant,Korean Restaurant,Steakhouse,Donut Shop,0
48,11150,TAMAN SARI,JAKARTA BARAT,Chinese Restaurant,Noodle House,Asian Restaurant,Food Truck,Coffee Shop,Soup Place,Donut Shop,Dessert Shop,Indonesian Restaurant,Fast Food Restaurant,0
49,11160,MAPHAR,JAKARTA BARAT,Chinese Restaurant,Noodle House,Food Truck,Asian Restaurant,Bakery,Bistro,Indonesian Restaurant,Japanese Restaurant,Korean Restaurant,Fast Food Restaurant,0
50,11170,TANGKI,JAKARTA BARAT,Noodle House,Food Truck,Asian Restaurant,BBQ Joint,Chinese Restaurant,Indonesian Restaurant,Donut Shop,Dessert Shop,Restaurant,Fast Food Restaurant,0
51,11180,MANGGA BESAR,JAKARTA BARAT,Noodle House,Chinese Restaurant,Food Truck,Asian Restaurant,Indonesian Restaurant,Soup Place,Bakery,Dim Sum Restaurant,Fast Food Restaurant,Café,0
55,11240,PEKOJAN,JAKARTA BARAT,Chinese Restaurant,Noodle House,Food Truck,Steakhouse,Asian Restaurant,Donut Shop,Japanese Restaurant,Fast Food Restaurant,Dumpling Restaurant,Dim Sum Restaurant,0
61,11320,JEMBATAN BESI,JAKARTA BARAT,Fast Food Restaurant,Chinese Restaurant,Asian Restaurant,Seafood Restaurant,Indonesian Restaurant,Coffee Shop,Wine Bar,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,0
64,11420,KOTA BAMBU SELATAN,JAKARTA BARAT,Pizza Place,Food Truck,Asian Restaurant,Donut Shop,Indonesian Meatball Place,Noodle House,Chinese Restaurant,Fast Food Restaurant,Dumpling Restaurant,Dim Sum Restaurant,0
65,11420,KOTA BAMBU UTARA,JAKARTA BARAT,Pizza Place,Food Truck,Asian Restaurant,Donut Shop,Indonesian Meatball Place,Noodle House,Chinese Restaurant,Fast Food Restaurant,Dumpling Restaurant,Dim Sum Restaurant,0
68,11450,GROGOL,JAKARTA BARAT,Noodle House,Food Court,Restaurant,Dessert Shop,Indonesian Meatball Place,Indonesian Restaurant,Chinese Restaurant,Café,Fried Chicken Joint,Snack Place,0
69,11460,JELAMBAR,JAKARTA BARAT,Chinese Restaurant,Noodle House,Pizza Place,Coffee Shop,Indonesian Restaurant,Fried Chicken Joint,Fast Food Restaurant,Food Truck,Indonesian Meatball Place,Japanese Restaurant,0
71,11460,WIJAYA KUSUMA,JAKARTA BARAT,Noodle House,Fried Chicken Joint,Fast Food Restaurant,Dim Sum Restaurant,Coffee Shop,Japanese Restaurant,Chinese Restaurant,Food Truck,Steakhouse,Beer Garden,0
77,11520,KEDOYA SELATAN,JAKARTA BARAT,Pizza Place,Noodle House,Fast Food Restaurant,Steakhouse,Dim Sum Restaurant,Indonesian Meatball Place,Café,Dumpling Restaurant,Donut Shop,Dessert Shop,0
78,11520,KEDOYA UTARA,JAKARTA BARAT,Pizza Place,Noodle House,Fast Food Restaurant,Steakhouse,Dim Sum Restaurant,Indonesian Meatball Place,Café,Dumpling Restaurant,Donut Shop,Dessert Shop,0
83,11610,KEMBANGAN SELATAN,JAKARTA BARAT,Chinese Restaurant,Coffee Shop,Asian Restaurant,Fast Food Restaurant,Sushi Restaurant,Café,American Restaurant,Steakhouse,Food Court,Bakery,0
84,11610,KEMBANGAN UTARA,JAKARTA BARAT,Chinese Restaurant,Coffee Shop,Asian Restaurant,Fast Food Restaurant,Sushi Restaurant,Café,American Restaurant,Steakhouse,Food Court,Bakery,0
86,11630,SRENGSENG,JAKARTA BARAT,Donut Shop,Wine Bar,Chinese Restaurant,Food Court,Fast Food Restaurant,Dumpling Restaurant,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,0
91,11730,CENGKARENG BARAT,JAKARTA BARAT,Café,Chinese Restaurant,Food Court,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,0
92,11730,CENGKARENG TIMUR,JAKARTA BARAT,Café,Chinese Restaurant,Food Court,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,0
93,11740,RAWA BUAYA,JAKARTA BARAT,Noodle House,Café,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,Chinese Restaurant,0
112,12230,CIPULIR,JAKARTA SELATAN,Asian Restaurant,Fast Food Restaurant,Wine Bar,Chinese Restaurant,Food Court,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,0
115,12250,ULUJAMI,JAKARTA SELATAN,Fast Food Restaurant,Wine Bar,Chinese Restaurant,Food Court,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,0
126,12510,PEJATEN BARAT,JAKARTA SELATAN,Asian Restaurant,Indonesian Meatball Place,Noodle House,Wine Bar,Chinese Restaurant,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,0
127,12510,PEJATEN TIMUR,JAKARTA SELATAN,Asian Restaurant,Indonesian Meatball Place,Noodle House,Wine Bar,Chinese Restaurant,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,0
132,12550,RAGUNAN,JAKARTA SELATAN,Asian Restaurant,Noodle House,Food Truck,Steakhouse,Dumpling Restaurant,Bakery,Donut Shop,Café,Chinese Restaurant,Wine Bar,0
134,12620,JAGAKARSA,JAKARTA SELATAN,Asian Restaurant,Wine Bar,Chinese Restaurant,Food Court,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,0
142,12740,KALIBATA,JAKARTA SELATAN,Noodle House,Café,Bakery,Coffee Shop,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,0
154,12850,MANGGARAI,JAKARTA SELATAN,Betawinese Restaurant,Coffee Shop,Food Court,Fast Food Restaurant,Donut Shop,Pizza Place,Chinese Restaurant,Dumpling Restaurant,Dim Sum Restaurant,Dessert Shop,0
164,12980,GUNTUR,JAKARTA SELATAN,Coffee Shop,Food Court,Japanese Restaurant,Steakhouse,Pizza Place,Noodle House,Chinese Restaurant,Italian Restaurant,Dumpling Restaurant,Donut Shop,0
165,13110,PISANGAN BARU,JAKARTA TIMUR,Asian Restaurant,Wine Bar,Chinese Restaurant,Food Court,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,0
166,13120,UTAN KAYU SELATAN,JAKARTA TIMUR,Food Court,Seafood Restaurant,Pizza Place,Café,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,0
167,13120,UTAN KAYU UTARA,JAKARTA TIMUR,Food Court,Seafood Restaurant,Pizza Place,Café,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,0
168,13130,KAYU MANIS,JAKARTA TIMUR,Food Court,Seafood Restaurant,Café,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,0
178,13310,BALI MESTER,JAKARTA TIMUR,Fast Food Restaurant,Asian Restaurant,Fried Chicken Joint,Food Court,Indonesian Restaurant,Japanese Restaurant,Coffee Shop,Chinese Restaurant,Food Truck,Seafood Restaurant,0
179,13320,KAMPUNG MELAYU,JAKARTA TIMUR,Fast Food Restaurant,Chinese Restaurant,Restaurant,Indonesian Restaurant,Coffee Shop,Food Court,Pizza Place,Middle Eastern Restaurant,Bakery,Asian Restaurant,0
180,13330,BIDARACINA,JAKARTA TIMUR,Fast Food Restaurant,American Restaurant,Indonesian Restaurant,Pizza Place,Noodle House,Café,Chinese Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,0
182,13350,RAWA BUNGA,JAKARTA TIMUR,Asian Restaurant,Fried Chicken Joint,Food Court,Fast Food Restaurant,Donut Shop,Indonesian Restaurant,Japanese Restaurant,Coffee Shop,Chinese Restaurant,Food Truck,0
186,13430,PONDOK BAMBU,JAKARTA TIMUR,Asian Restaurant,Wine Bar,Chinese Restaurant,Food Court,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,0
192,13470,KLENDER,JAKARTA TIMUR,Fried Chicken Joint,Donut Shop,Fast Food Restaurant,Noodle House,BBQ Joint,Coffee Shop,American Restaurant,Dumpling Restaurant,Asian Restaurant,Dim Sum Restaurant,0
193,13510,KRAMAT JATI,JAKARTA TIMUR,Noodle House,Asian Restaurant,Cupcake Shop,Chinese Restaurant,Café,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,0
194,13520,BATUAMPAR,JAKARTA TIMUR,Fast Food Restaurant,Pizza Place,Donut Shop,Cupcake Shop,Indonesian Restaurant,Japanese Restaurant,Fried Chicken Joint,Seafood Restaurant,Bakery,Bed & Breakfast,0
199,13570,MAKASAR,JAKARTA TIMUR,Asian Restaurant,Fast Food Restaurant,Wine Bar,Chinese Restaurant,Food Court,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,0
200,13610,HALIM PERDANA KUSUMAH,JAKARTA TIMUR,Food Court,Fast Food Restaurant,Wine Bar,Chinese Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,0
202,13630,CAWANG,JAKARTA TIMUR,Fast Food Restaurant,Wine Bar,Chinese Restaurant,Food Court,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,0
203,13640,CILILITAN,JAKARTA TIMUR,Fast Food Restaurant,Pizza Place,Donut Shop,Cupcake Shop,Indonesian Restaurant,Japanese Restaurant,Fried Chicken Joint,Seafood Restaurant,Bakery,Bed & Breakfast,0
204,13650,KEBON PALA,JAKARTA TIMUR,Asian Restaurant,Fast Food Restaurant,Wine Bar,Chinese Restaurant,Food Court,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,0
208,13740,CIRACAS,JAKARTA TIMUR,Pizza Place,Wine Bar,Café,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,0
210,13760,GEDONG,JAKARTA TIMUR,Food Court,Fast Food Restaurant,Wine Bar,Chinese Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,0
211,13770,CIJANTUNG,JAKARTA TIMUR,Pizza Place,Noodle House,Fast Food Restaurant,Donut Shop,Café,Seafood Restaurant,Food Court,Dumpling Restaurant,Dim Sum Restaurant,Dessert Shop,0
213,13790,KALISARI,JAKARTA TIMUR,Pizza Place,Wine Bar,Café,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,0
214,13810,LUBANG BUAYA,JAKARTA TIMUR,Noodle House,Café,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,Chinese Restaurant,0
226,13930,JATINEGARA,JAKARTA TIMUR,Fast Food Restaurant,Indonesian Meatball Place,Wine Bar,Chinese Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,0
240,14240,KELAPA GADING BARAT,JAKARTA UTARA,Food Court,Fast Food Restaurant,Wine Bar,Chinese Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,0
241,14240,KELAPA GADING TIMUR,JAKARTA UTARA,Food Court,Fast Food Restaurant,Wine Bar,Chinese Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,0
246,14310,TANJUNG PRIOK,JAKARTA UTARA,Asian Restaurant,BBQ Joint,Seafood Restaurant,Indonesian Restaurant,Noodle House,Wine Bar,Chinese Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,0
247,14320,KEBON BAWANG,JAKARTA UTARA,Food Court,Wine Bar,Chinese Restaurant,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,0
249,14340,PAPANGGO,JAKARTA UTARA,Fast Food Restaurant,Pizza Place,Soup Place,Seafood Restaurant,Noodle House,Chinese Restaurant,Indonesian Restaurant,Food Truck,BBQ Joint,Dessert Shop,0
250,14350,SUNTER AGUNG,JAKARTA UTARA,Asian Restaurant,Chinese Restaurant,Noodle House,Café,Indonesian Restaurant,Bakery,Betawinese Restaurant,Donut Shop,Seafood Restaurant,Dessert Shop,0
251,14360,SUNTER JAYA,JAKARTA UTARA,Food Court,Fast Food Restaurant,Asian Restaurant,Bed & Breakfast,Indonesian Restaurant,Coffee Shop,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,0
253,14410,PADEMANGAN TIMUR,JAKARTA UTARA,Pizza Place,Wine Bar,Café,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,0
256,14440,PENJARINGAN,JAKARTA UTARA,Chinese Restaurant,Coffee Shop,Noodle House,Donut Shop,Sushi Restaurant,Japanese Restaurant,Dim Sum Restaurant,Snack Place,Asian Restaurant,Restaurant,0
257,14450,PEJAGALAN,JAKARTA UTARA,Noodle House,Café,Asian Restaurant,Chinese Restaurant,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,0
258,14450,PLUIT,JAKARTA UTARA,Noodle House,Café,Asian Restaurant,Chinese Restaurant,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,0
